run_id,date,sha,avg,median,p90,p95,p99,min,max
25803782069,2026-05-13,66068b4f,34.43,28.1,64.0,76.6,124.6,1.4,234.8
25797498103,2026-05-13,e583f9c2,33.70,27.0,62.6,76.7,113.5,0.5,230.8
25794303599,2026-05-13,97cb57e9,34.63,28.3,62.3,77.1,118.4,0.5,244.6
25790457029,2026-05-13,a3b7d958,34.59,27.9,62.3,78.0,116.2,1.5,250.9
25757371489,2026-05-12,ec87b311,34.43,28.5,63.7,76.6,119.6,0.5,232.0
25750232621,2026-05-12,6f96c184,35.32,29.0,64.8,76.0,119.6,0.5,251.6
25748387393,2026-05-12,4c8b45d3,35.73,29.0,65.7,75.0,128.6,0.7,252.9
25746482452,2026-05-12,b25b0a63,34.64,28.5,63.2,75.3,119.2,0.4,261.3
25743482085,2026-05-12,82f2664d,34.65,28.7,62.4,76.0,123.0,0.4,255.6
25740744050,2026-05-12,73c6c79d,34.43,28.0,63.6,75.6,120.6,0.4,237.0
25739278099,2026-05-12,9f69a03e,34.33,28.0,61.1,75.0,120.8,0.4,255.9
25736470921,2026-05-12,bb171184,35.57,29.6,63.3,78.3,138.7,0.7,232.0
25730771461,2026-05-12,0b19902a,34.31,28.3,64.5,77.0,115.4,1.4,237.4
25729606341,2026-05-12,2fe2eb61,34.03,27.8,61.1,74.8,135.8,1.3,246.1
25727941570,2026-05-12,059606b4,34.75,28.2,63.1,74.9,120.9,0.4,241.8
25725531526,2026-05-12,a728e106,34.01,27.7,61.0,75.3,113.8,0.4,244.0
25725144908,2026-05-12,fe120145,34.23,28.0,62.2,75.4,119.6,0.5,256.9
25725124714,2026-05-12,784bdf8b,35.13,28.9,62.9,74.4,125.1,0.4,254.5
25723411052,2026-05-12,f778d9e8,35.04,29.1,64.3,76.3,124.8,0.5,252.0
25679123009,2026-05-11,274834b9,35.49,29.3,66.2,76.4,121.2,0.5,254.4
25673896938,2026-05-11,e913d87b,35.16,28.8,64.4,76.3,123.5,0.4,234.8
25673277055,2026-05-11,67c0da6d,35.67,29.5,63.3,77.2,128.3,0.5,232.6
25672841912,2026-05-11,a330d89e,35.15,28.9,61.9,73.8,130.2,0.4,258.3
25669819600,2026-05-11,16eda2e0,35.40,28.9,64.2,76.0,125.7,0.4,239.6
25667478517,2026-05-11,273aceed,35.68,28.7,65.5,76.5,139.1,0.5,247.6
25666769875,2026-05-11,87b0cda0,33.86,28.0,62.4,74.0,116.5,0.5,254.7
25665265825,2026-05-11,73cf389a,34.74,28.4,64.7,77.2,131.3,0.7,229.5
25664289503,2026-05-11,78fc2a12,34.09,27.9,62.6,78.0,120.7,0.6,248.4
