run_id,date,sha,avg,median,p90,p95,p99,min,max
25664178551,2026-05-11,5b4f2e78,34.31,28.0,62.7,75.5,118.8,0.4,227.8
25664150368,2026-05-11,4144d020,34.09,27.6,62.8,74.8,120.8,0.5,256.2
25661542251,2026-05-11,c9b6529d,35.44,29.1,64.4,75.3,116.0,0.5,249.1
25644675898,2026-05-11,9c450d48,34.06,28.2,60.0,74.8,123.4,0.6,256.0
25627723560,2026-05-10,684639be,34.48,28.3,60.6,75.7,119.3,0.4,238.5
25597916462,2026-05-09,3867915f,34.80,28.5,63.2,76.3,133.4,0.5,228.9
25596027966,2026-05-09,b0026228,35.33,29.2,62.8,77.2,133.3,0.5,238.0
25586296776,2026-05-09,37655bb3,34.71,28.9,63.5,74.1,130.6,0.4,230.2
25586114723,2026-05-09,cbce88c7,34.95,28.7,63.1,76.2,123.0,0.6,230.8
25581884308,2026-05-08,3ee55858,35.75,29.5,67.0,77.1,115.9,0.4,236.6
25576758726,2026-05-08,92f2fbfd,35.19,28.3,65.9,78.3,116.1,0.7,222.6
25574718070,2026-05-08,481b6b17,35.76,29.3,66.4,76.7,119.1,0.5,258.1
25573839987,2026-05-08,c736474a,35.10,29.0,62.3,75.2,119.3,0.5,254.4
25557908267,2026-05-08,af45402f,35.46,29.0,64.0,76.4,122.2,0.5,236.2
25555342210,2026-05-08,33837880,35.56,29.2,63.9,75.9,132.1,0.6,257.5
25549371258,2026-05-08,0857c6e0,35.87,29.5,65.7,76.7,124.1,1.5,229.4
25507471894,2026-05-07,db8b6e9c,35.43,28.7,64.1,77.7,139.0,0.4,227.7
25496927765,2026-05-07,f5c57be6,35.44,28.8,64.9,77.2,127.8,0.7,253.1
25496329558,2026-05-07,c7abfa52,34.95,28.6,62.9,75.9,125.0,1.6,232.1
25483915172,2026-05-07,e4edacf6,33.70,27.6,59.0,73.1,125.9,0.5,253.1
25480658306,2026-05-07,43256370,36.07,29.6,65.0,79.3,133.0,0.6,244.1
25479944105,2026-05-07,ac4fc152,36.80,29.9,64.9,79.1,130.6,0.4,247.3
25463699752,2026-05-06,f1fd673b,35.90,28.8,64.8,78.0,132.1,0.5,257.9
25437554428,2026-05-06,5f9439f8,35.54,29.4,64.0,79.5,130.9,0.9,255.6
25435183108,2026-05-06,73fb507f,35.48,29.5,62.2,76.1,117.5,1.1,235.8
25433809260,2026-05-06,18bc399e,36.15,29.4,67.9,79.1,133.2,0.4,239.5
25432885474,2026-05-06,92237b87,35.45,29.2,60.5,78.2,127.2,0.5,260.3
25431209268,2026-05-06,e8f371ed,36.62,30.0,65.9,76.9,139.6,0.5,253.8
25429856081,2026-05-06,1b73b42f,35.87,29.4,66.5,78.5,135.7,1.0,264.0
25425721232,2026-05-06,58838b65,35.76,29.1,64.2,79.9,133.3,0.6,241.9
25413839451,2026-05-06,61c20c51,36.58,30.0,66.2,78.0,143.5,0.5,263.6
25412373322,2026-05-06,49a985df,35.83,29.0,67.2,80.2,132.6,0.5,240.0
25390309112,2026-05-05,53c217f1,35.57,29.2,64.5,78.3,128.1,1.1,243.2
25383102143,2026-05-05,a82b5bb3,36.15,29.5,66.2,79.2,139.3,0.5,252.4
25379341837,2026-05-05,bcddc6df,35.50,29.2,63.5,75.4,120.3,0.5,247.4
25372046872,2026-05-05,2142456a,35.91,29.9,65.0,79.8,127.2,1.6,242.3
25365597820,2026-05-05,5f374882,35.71,29.5,62.0,78.5,130.4,1.5,240.6
25361798157,2026-05-05,3b36172f,35.81,29.3,65.4,79.3,117.5,1.4,245.4
25355668386,2026-05-05,1ce5d310,36.09,29.5,66.8,79.3,116.8,0.6,240.5
25340437747,2026-05-04,93b3e3b2,35.60,28.9,64.7,79.2,133.9,0.9,237.1
25340310973,2026-05-04,fbc15085,36.23,30.0,66.0,79.8,135.4,0.4,263.1
25336726492,2026-05-04,f080d643,35.72,29.0,66.8,80.2,129.7,1.2,258.3
25328627028,2026-05-04,ffd07355,35.70,28.9,66.1,81.2,133.0,0.4,259.4
25322466162,2026-05-04,e6613da1,35.95,29.8,65.9,79.5,132.7,1.5,233.1
25320015873,2026-05-04,2bba3a89,36.17,29.8,68.8,81.1,116.6,0.5,261.2
25320005778,2026-05-04,12fabc9d,37.03,30.0,68.3,78.0,132.8,0.7,251.1
25316773968,2026-05-04,abdc1eb6,35.62,29.3,66.0,77.3,123.7,0.8,264.5
25315521037,2026-05-04,60e7e76f,36.01,29.4,64.8,79.9,120.0,0.5,253.3
25314245117,2026-05-04,484537f8,35.66,28.9,66.3,78.9,117.8,0.5,239.1
25313668275,2026-05-04,fa54f32a,35.59,29.5,63.7,79.9,121.6,0.5,239.3
25311175804,2026-05-04,df565f2b,37.11,30.1,69.4,81.9,137.3,0.5,251.1
25281867227,2026-05-03,8d13526a,36.10,29.2,65.6,79.9,124.2,0.6,239.5
25270735453,2026-05-03,69a07d5e,35.71,29.4,64.4,78.9,117.3,0.5,250.6
25248408748,2026-05-02,d710905d,36.90,30.7,65.9,79.1,134.5,0.5,240.0
25248375576,2026-05-02,52e76c99,35.80,29.1,64.6,78.4,116.8,0.4,254.3
25225331877,2026-05-01,c18a952a,36.51,29.9,64.0,80.5,123.7,0.5,251.3
25214011175,2026-05-01,5fde52eb,35.45,29.2,63.5,77.5,123.7,0.5,250.7
25213101061,2026-05-01,0d6d5eb6,35.06,28.5,62.9,78.1,126.0,0.5,237.9
25211187208,2026-05-01,c5551cc4,35.63,29.1,64.5,79.3,137.5,0.5,234.4
25210702613,2026-05-01,bb163113,35.51,28.8,67.3,79.9,117.9,0.6,237.3
25209252410,2026-05-01,1c8c7850,35.67,29.1,66.5,78.6,134.3,0.5,261.9
25177218211,2026-04-30,28760dc5,35.65,29.3,65.1,78.0,145.6,0.6,250.8
25169786661,2026-04-30,4c3a515c,35.87,29.2,64.1,77.9,135.3,0.5,250.7
25163504728,2026-04-30,688e1b58,35.79,29.2,66.4,81.3,129.2,0.6,261.9
25162532435,2026-04-30,5ff585ed,35.30,29.0,61.7,76.7,135.7,0.5,261.1
25161233583,2026-04-30,0dcf42d1,37.26,30.4,69.5,82.9,128.8,0.6,261.8
25160855593,2026-04-30,9298285f,57.90,52.4,91.4,114.4,178.2,0.4,364.2
25152883940,2026-04-30,2075fbb0,58.17,52.6,93.0,111.8,179.8,0.4,324.0
25138401620,2026-04-29,ee8eaa95,57.90,52.0,92.8,110.6,178.3,0.4,311.8
25122793659,2026-04-29,33ff15f3,57.52,51.7,91.6,107.6,193.1,0.4,304.4
25119493372,2026-04-29,8d79cdcd,57.48,51.6,91.6,109.0,180.6,0.4,314.6
25119039248,2026-04-29,81d0aa26,57.69,52.4,93.2,111.1,182.0,0.4,307.6
25115270756,2026-04-29,e9f14e08,58.14,52.4,92.1,110.2,183.6,0.5,319.0
25111863489,2026-04-29,3d6caea0,57.54,52.4,92.8,110.0,176.8,0.4,337.4
25102627746,2026-04-29,570d91ba,57.87,52.7,93.8,108.3,176.8,0.3,312.9
25102461666,2026-04-29,f1c296f9,58.10,51.9,93.1,110.2,183.5,0.4,363.3
25102449003,2026-04-29,fb54c783,57.92,52.6,93.6,112.5,174.3,0.4,329.0
25099867441,2026-04-29,309f046a,57.90,52.4,91.8,113.9,179.0,0.4,365.3
25097696737,2026-04-29,ca1c9094,57.70,52.1,93.0,110.9,173.8,0.4,325.9
25087131348,2026-04-29,e5178a49,57.94,52.3,91.8,110.3,179.3,0.4,314.1
25082966508,2026-04-28,d97d88f2,57.85,52.0,91.3,112.7,176.9,0.4,327.2
25075023128,2026-04-28,db8489d9,58.06,52.3,94.4,113.7,178.3,0.4,327.0
25071211092,2026-04-28,5b53afce,57.78,52.4,92.4,109.8,180.3,0.4,330.3
25063926780,2026-04-28,31a673a6,57.53,52.2,92.3,106.6,178.3,0.4,323.4
25056431179,2026-04-28,38da2427,57.66,52.3,93.3,108.8,169.8,0.4,318.8
25054603236,2026-04-28,886a61c2,57.90,51.8,94.0,111.7,182.0,0.4,309.1
25052972987,2026-04-28,05eaff58,58.05,52.3,92.5,107.7,181.9,0.4,352.3
25051363785,2026-04-28,36546bb2,57.51,52.2,91.8,108.4,174.2,0.4,311.2
25049417027,2026-04-28,b5b1d4ce,57.64,52.0,92.0,109.0,178.7,0.4,315.9
25049399119,2026-04-28,aa9609ad,57.74,52.3,92.2,108.5,179.4,0.4,314.4
25049391876,2026-04-28,384b3b66,58.16,52.1,93.2,111.4,179.1,0.5,339.6
25047394153,2026-04-28,7359c84e,58.11,52.7,93.4,110.6,185.5,0.5,334.2
25045961043,2026-04-28,c5271bb5,58.00,52.7,91.2,109.9,179.1,0.4,354.9
25041286750,2026-04-28,72ff9867,57.98,52.5,92.5,111.2,182.8,0.4,371.1
25039545558,2026-04-28,a3120396,57.85,52.4,91.7,111.9,177.8,0.5,354.8
25015043562,2026-04-27,f1864daa,58.18,52.4,93.0,112.2,179.6,0.4,326.1
25014724971,2026-04-27,e5308942,58.02,52.9,92.3,111.6,177.7,0.5,329.7
25010221519,2026-04-27,79b31cdd,58.19,52.7,92.5,110.7,180.9,0.5,339.5
25001150973,2026-04-27,54ecbb8c,58.11,52.6,93.0,110.0,180.6,0.4,364.7
25000822414,2026-04-27,5faea5d6,36.15,30.0,64.5,80.6,130.3,0.5,251.9
24991737026,2026-04-27,a36154c3,36.66,30.0,68.5,81.5,124.4,0.5,250.4
24991528142,2026-04-27,18d60a48,36.48,29.7,67.4,79.4,140.7,0.5,250.7
24991132471,2026-04-27,b71c3528,36.70,29.8,68.4,80.6,131.5,1.1,249.5
24984776849,2026-04-27,ed6a354e,36.63,30.1,67.4,82.7,124.7,0.4,257.7
24967343246,2026-04-26,1a096e48,36.54,29.9,67.6,79.2,143.8,0.5,289.5
24966870803,2026-04-26,4a90d613,35.93,29.8,62.1,77.7,119.4,0.4,262.3
24948527056,2026-04-26,09bd5a2d,36.12,29.4,65.2,79.7,134.4,0.6,250.0
24926223377,2026-04-25,9cba44cd,37.84,31.5,68.6,81.7,139.3,0.6,244.4
24919253554,2026-04-25,cd8e5888,37.09,30.4,68.0,81.5,139.1,0.4,245.1
24909543420,2026-04-24,bb9a34fc,36.32,29.8,68.0,80.1,142.0,1.2,245.6
24907773091,2026-04-24,4adecd3e,37.59,30.9,70.2,82.2,128.4,1.4,237.6
24905610613,2026-04-24,24670021,37.60,30.7,70.2,80.5,137.1,0.7,238.3
24880582341,2026-04-24,dc5b9d3a,37.63,31.0,68.0,80.7,136.0,0.5,264.1
24878278308,2026-04-24,29160896,37.05,30.6,66.8,83.0,127.2,0.5,241.4
24875524928,2026-04-24,0061fd74,36.35,29.9,67.8,79.3,133.6,0.5,258.9
24856174676,2026-04-23,f882e693,37.47,30.4,68.2,81.4,158.6,0.8,243.5
24845955377,2026-04-23,145cb833,37.58,31.2,67.0,82.3,131.4,0.7,254.3
24843107322,2026-04-23,1de3245d,37.76,31.0,69.9,81.4,136.4,0.4,253.9
24839575981,2026-04-23,9e5f1095,38.04,31.6,68.8,82.5,134.8,0.5,251.7
24836224192,2026-04-23,991e554e,37.90,31.1,70.1,79.8,127.5,0.5,263.3
24829851408,2026-04-23,cf3728fe,37.75,31.1,67.8,79.6,138.7,0.4,240.0
24828819110,2026-04-23,d67352fd,37.13,30.7,66.5,79.2,132.4,0.5,250.5
24822986445,2026-04-23,4f838598,36.78,30.2,68.6,81.9,134.8,0.5,238.6
24810743422,2026-04-23,d1450546,37.83,30.8,67.8,80.3,137.0,0.6,255.9
24809286641,2026-04-23,b9f40289,35.90,29.8,62.7,76.7,120.7,0.5,236.0
24804857173,2026-04-22,aa8cb549,37.65,30.9,67.7,79.8,126.7,0.5,256.2
24792867353,2026-04-22,73447e48,37.11,30.8,67.1,79.7,130.9,0.7,244.8
24792649321,2026-04-22,b54bbb8d,37.47,30.6,69.3,82.0,133.9,1.4,240.0
24788847894,2026-04-22,2db6ebd3,36.55,30.3,65.9,79.5,133.2,0.7,245.0
24787454622,2026-04-22,b4abe662,37.14,30.4,66.2,79.7,132.6,0.5,238.3
24778049032,2026-04-22,382af362,36.51,29.4,67.2,78.7,134.5,0.4,263.4
24776736298,2026-04-22,d347d247,39.89,33.1,71.2,83.8,134.8,0.5,253.7
24776477806,2026-04-22,3e8bbfce,39.96,32.8,70.9,84.5,133.3,0.5,265.5
24775413380,2026-04-22,658c75a5,39.98,33.2,69.6,84.8,130.1,0.5,275.5
24774765585,2026-04-22,80bfb060,39.77,32.7,70.2,85.0,155.1,0.5,272.3
